price,boillinger_top,boillinger_bottom,klinger,rsi
0.017542,0.017652,0.017520,2.0,42.58
0.017561,0.017651,0.017519,8.0,48.30
0.017579,0.017650,0.017518,10.0,53.07
0.017584,0.017650,0.017518,11.0,54.33
0.017569,0.017650,0.017518,7.0,49.99
0.017564,0.017649,0.017517,2.0,48.60
0.017561,0.017647,0.017516,1.0,47.74
0.017568,0.017643,0.017517,2.0,49.97
0.017522,0.017644,0.017514,-5.0,38.40
0.017561,0.017642,0.017513,8.0,49.15
0.017571,0.017641,0.017513,9.0,51.48
0.017568,0.017640,0.017513,7.0,50.73
0.017576,0.017639,0.017513,7.0,52.72
0.017571,0.017638,0.017513,9.0,51.32
0.017580,0.017636,0.017513,10.0,53.70
0.017583,0.017633,0.017514,8.0,54.49
0.017578,0.017627,0.017517,3.0,52.74
0.017570,0.017622,0.017519,-2.0,49.97
0.017588,0.017619,0.017521,-1.0,55.62
0.017590,0.017618,0.017521,1.0,56.21
0.017598,0.017617,0.017523,6.0,58.76
0.017596,0.017617,0.017523,-1.0,57.85
0.017598,0.017619,0.017523,-5.0,58.54
0.017588,0.017620,0.017523,-13.0,53.47
0.017563,0.017619,0.017523,-14.0,43.36
0.017566,0.017619,0.017523,-10.0,44.71
0.017578,0.017618,0.017523,-7.0,49.86
0.017576,0.017617,0.017523,-8.0,49.04
0.017582,0.017616,0.017524,-3.0,51.61
0.017584,0.017613,0.017525,-18.0,52.48
0.017579,0.017607,0.017529,-11.0,50.08
0.017578,0.017607,0.017530,-14.0,49.59
0.017565,0.017607,0.017530,-19.0,43.63
0.017579,0.017607,0.017532,-11.0,50.52
0.017590,0.017606,0.017536,-5.0,55.16
0.017593,0.017606,0.017537,1.0,56.36
0.017584,0.017606,0.017539,-2.0,51.87
0.017590,0.017606,0.017541,-5.0,54.48
0.017588,0.017607,0.017542,-2.0,53.44
0.017587,0.017607,0.017543,-2.0,52.90
0.017575,0.017607,0.017543,-4.0,46.76
0.017581,0.017607,0.017545,-7.0,49.89
0.017544,0.017607,0.017543,-15.0,35.88
0.017538,0.017609,0.017541,-17.0,34.20
0.017558,0.017609,0.017540,-10.0,43.66
0.017548,0.017609,0.017539,-8.0,40.52
0.017552,0.017609,0.017540,-3.0,42.31
0.017554,0.017608,0.017541,4.0,43.22
0.017557,0.017608,0.017541,7.0,44.65
0.017551,0.017608,0.017539,5.0,42.36
0.017577,0.017608,0.017539,8.0,53.47
0.017560,0.017608,0.017539,5.0,47.08
0.017571,0.017608,0.017539,7.0,51.15
0.017574,0.017608,0.017540,10.0,52.23
0.017566,0.017608,0.017540,4.0,49.11
0.017561,0.017605,0.017544,-1.0,47.08
0.017566,0.017605,0.017544,-2.0,49.34
0.017570,0.017605,0.017544,1.0,51.14
0.017550,0.017606,0.017543,-1.0,42.93
0.017571,0.017606,0.017543,3.0,51.70
0.017575,0.017606,0.017543,6.0,53.17
0.017580,0.017605,0.017543,9.0,55.02
0.017591,0.017606,0.017543,12.0,58.87
0.017596,0.017607,0.017542,13.0,60.52
0.017605,0.017609,0.017542,16.0,63.38
0.017607,0.017610,0.017541,9.0,64.00
0.017612,0.017612,0.017540,13.0,65.58
0.017610,0.017614,0.017539,11.0,64.36
0.017619,0.017616,0.017538,10.0,67.30
0.017624,0.017618,0.017537,11.0,68.83
0.017606,0.017619,0.017537,-3.0,58.23
0.017596,0.017619,0.017537,-7.0,53.32
0.017592,0.017619,0.017537,-8.0,51.45
0.017583,0.017619,0.017537,-11.0,47.42
0.017589,0.017619,0.017538,-12.0,50.22
0.017591,0.017620,0.017538,13.0,51.16
0.017606,0.017621,0.017538,17.0,57.58
0.017601,0.017622,0.017538,8.0,54.98
0.017603,0.017623,0.017537,14.0,55.84
0.017620,0.017625,0.017537,15.0,62.40
0.017615,0.017627,0.017536,13.0,59.59
0.017619,0.017629,0.017536,15.0,61.10
0.017607,0.017630,0.017536,7.0,54.54
0.017605,0.017631,0.017536,1.0,53.50
0.017594,0.017631,0.017536,-4.0,48.11
0.017577,0.017631,0.017536,-8.0,41.20
0.017574,0.017631,0.017536,-12.0,40.11
