price,sar,volume,volume_ema,klinger1,klinger2,rsi,signal
0.017302,0.017437,381,457,-13,-12,35.57,1
0.017307,0.017433,2.839,584,-72,-21,37.20,1
0.017310,0.017426,220,596,-50,-29,38.24,1
0.017317,0.017419,170,617,-13,-25,41.63,1
0.017305,0.017415,221,587,-15,-24,38.77,1
0.017297,0.017412,6.265,879,-147,-42,36.94,1
0.017300,0.017409,2.429,987,-80,-47,38.12,1
0.017310,0.017402,4.712,1.41,-76,-70,42.28,1
0.017301,0.017399,303,1.378,-73,-70,39.69,1
0.017304,0.017396,302,1.376,-70,-70,40.99,1
0.017305,0.017393,409,1.383,-52,-68,41.44,1
0.017311,0.017391,425,1.389,-35,-63,44.20,1
0.017313,0.017388,301,1.393,-36,-59,45.13,1
0.017302,0.017385,355,1.398,-22,-54,41.08,1
0.017323,0.017382,609,1.418,-4,-47,50.26,1
0.017312,0.017380,313,1.419,-7,-41,46.20,1
0.017320,0.017377,652,1.427,11,-34,49.40,1
0.017311,0.017375,342,1.425,6,-28,46.08,1
0.017309,0.017370,173,1.286,16,-16,45.73,1
0.017303,0.017367,149,1.282,15,-12,43.69,1
0.017305,0.017365,154,1.234,13,-8,44.58,1
0.017306,0.017360,181,1.236,17,-1,44.24,1
0.017305,0.017358,190,932,23,2,44.77,1
0.017292,0.017356,300,826,17,4,39.53,1
0.017300,0.017354,707,565,33,9,43.88,1
0.017295,0.017352,236,341,28,11,41.85,1
0.017277,0.017348,393,366,6,11,36.81,1
0.017267,0.017346,152,353,5,10,33.77,1
0.017278,0.017344,471,356,17,11,39.67,1
0.017263,0.017342,264,354,13,11,35.08,1
0.017278,0.017340,127,343,17,12,42.28,1
0.017266,0.017338,212,323,13,12,38.59,1
0.017269,0.017334,1.155,365,-10,9,40.00,1
0.017289,0.017325,365,362,16,10,48.47,1
0.017343,0.017221,511,364,28,12,63.81,2
0.017338,0.017235,1.024,415,56,21,65.21,2
0.017371,0.017246,357,425,61,27,68.66,2
0.017423,0.017285,3.284,723,185,61,76.25,2
0.017422,0.017304,615,744,156,75,75.86,2
0.017430,0.017321,456,752,153,86,76.89,1
0.017460,0.017342,650,749,154,96,80.30,1
0.017459,0.017363,517,763,151,104,79.87,1
0.017463,0.017380,287,742,144,109,80.32,1
0.017495,0.017402,649,755,145,114,83.47,1
0.017485,0.017423,700,782,146,119,79.20,1
0.017503,0.017447,899,804,152,124,81.08,1
0.017520,0.017466,397,810,146,127,82.67,1
0.017527,0.017481,432,825,140,129,83.29,1
0.017524,0.017493,232,826,121,128,81.93,1
0.017550,0.017506,611,799,121,127,84.32,1
0.017563,0.017533,507,811,99,122,85.36,1
0.017591,0.017545,405,806,96,119,87.45,1
0.017595,0.017557,381,809,93,115,87.72,1
0.017608,0.017576,384,767,76,105,84.32,1
0.017615,0.017584,276,627,72,100,84.89,1
0.017635,0.017598,1.024,514,84,98,86.43,1
0.017655,0.017602,469,506,83,96,87.77,1
0.017676,0.017617,837,525,90,95,89.00,1
0.017599,0.017700,1.541,570,45,88,63.71,1
0.017580,0.017695,531,571,25,79,59.24,1
0.017574,0.017687,353,574,11,69,57.86,1
0.017585,0.017678,348,559,14,61,59.71,1
0.017608,0.017669,253,536,14,54,63.35,1
0.017607,0.017661,455,514,18,49,63.08,1
0.017615,0.017653,297,509,6,43,64.37,1
0.017632,0.017646,282,502,8,38,67.01,1
0.017643,0.017566,207,490,11,31,68.00,1
0.017637,0.017568,268,469,11,28,66.05,1
0.017625,0.017569,314,459,-1,24,62.20,1
0.017644,0.017571,272,453,1,21,65.62,1
0.017655,0.017575,517,460,8,19,67.45,1
0.017670,0.017582,479,475,13,18,69.81,1
0.017694,0.017592,707,491,23,19,73.17,1
0.017707,0.017607,1.16,536,41,22,74.81,1
0.017738,0.017621,1.486,559,65,28,78.21,1
0.017728,0.017638,1.137,592,79,35,74.70,1
0.017713,0.017652,2.428,672,15,32,69.65,1
0.017719,0.017667,2.097,700,54,36,70.51,1
0.017682,0.017680,1.356,741,15,33,59.36,0
0.017667,0.017760,554,751,-3,28,55.52,0
0.017634,0.017609,3.878,927,-91,11,48.15,0
0.017613,0.017770,1.564,993,-120,-8,44.13,0
0.017609,0.017762,2.021,1.071,-157,-29,43.39,1
