price,ema,volume,volume_ema,klinger,rsi,signal
0.017349,0.017283,687,659,18.0,68.04,2
0.017423,0.017307,749,636,57.0,77.40,1
0.017426,0.017318,377,648,36.0,77.70,1
0.017417,0.017328,397,417,34.0,74.50,1
0.017410,0.017336,533,430,15.0,72.01,1
0.017411,0.017343,299,429,4.0,72.15,1
0.017449,0.017353,440,435,9.0,76.97,1
0.017477,0.017365,973,469,22.0,79.75,1
0.017480,0.017376,1384.0,524,40.0,80.03,1
0.017500,0.017388,944,563,45.0,81.82,1
0.017315,0.017381,1324.0,600,7.0,43.20,1
0.017366,0.017379,1563.0,669,-28.0,50.18,1
0.017378,0.017379,680,691,-13.0,51.68,1
0.017377,0.017379,310,700,-8.0,51.54,1
0.017352,0.017376,337,708,-16.0,48.05,1
0.017337,0.017373,1029.0,743,-35.0,46.03,1
0.017404,0.017376,724,765,-17.0,55.10,1
0.017434,0.017381,813,798,0.0,58.47,1
0.017457,0.017396,346,804,10.0,60.31,1
0.017385,0.017395,3496.0,866,-59.0,50.17,1
0.017457,0.017401,2763.0,967,2.0,57.81,1
0.017458,0.017406,667,981,-13.0,57.91,1
0.017468,0.017412,431,983,-4.0,58.92,1
0.017479,0.017418,544,984,-14.0,60.06,1
0.017487,0.017425,487,993,-5.0,60.90,1
0.017484,0.017431,322,987,1.0,60.39,1
0.017488,0.017436,914,984,16.0,60.86,1
0.017487,0.017441,189,924,7.0,60.67,1
0.017506,0.017447,501,902,13.0,63.11,1
0.017478,0.017450,370,854,1.0,57.45,1
0.017487,0.017454,307,792,-7.0,58.73,1
0.017477,0.017456,925,804,-24.0,56.69,0
0.017456,0.017456,714,824,-33.0,52.55,0
0.017438,0.017454,183,816,-30.0,49.24,1
0.017431,0.017452,275,779,-29.0,47.97,1
0.017354,0.017436,1031.0,805,-51.0,36.56,1
0.017347,0.017428,503,800,-48.0,35.68,1
0.017393,0.017424,615,813,-24.0,44.99,1
0.017360,0.017418,271,652,-21.0,40.47,1
0.017373,0.017414,532,540,-24.0,42.90,1
0.017342,0.017401,230,512,-16.0,38.81,1
0.017372,0.017398,418,506,0.0,44.71,1
0.017369,0.017395,274,495,8.0,44.25,1
0.017361,0.017392,168,488,8.0,42.99,1
0.017357,0.017388,549,469,19.0,47.10,1
0.017386,0.017388,153,451,23.0,48.55,1
0.017350,0.017382,124,434,15.0,41.93,1
0.017322,0.017377,458,410,7.0,37.48,1
0.017353,0.017374,460,398,17.0,44.50,1
0.017360,0.017373,345,406,23.0,45.98,1
0.017370,0.017373,897,437,37.0,48.10,1
0.017390,0.017374,315,401,38.0,52.15,1
0.017395,0.017376,438,372,39.0,53.14,1
0.017421,0.017381,711,382,45.0,57.98,1
0.017418,0.017384,199,361,39.0,57.24,1
0.017397,0.017385,265,361,26.0,52.25,1
0.017408,0.017388,220,345,16.0,54.49,1
0.017393,0.017388,220,338,2.0,50.99,1
0.017391,0.017389,325,333,-4.0,50.49,1
0.017389,0.017389,729,355,12.0,49.92,1
0.017388,0.017389,129,353,6.0,49.62,1
0.017395,0.017389,620,356,16.0,51.80,1
0.017389,0.017390,552,408,9.0,49.66,1
0.017388,0.017390,1202.0,462,-17.0,49.30,1
0.017389,0.017390,268,452,-9.0,49.70,1
0.017388,0.017389,708,465,-21.0,49.28,1
