price,boillinger_top,boillinger_bottom,klinger,rsi
0.017785,0.017713,0.017532,135.0,72.42
0.017793,0.017728,0.017522,79.0,73.05
0.017804,0.017744,0.017513,78.0,73.92
0.017769,0.017754,0.017509,43.0,66.54
0.017752,0.017762,0.017506,16.0,63.24
0.017762,0.017769,0.017503,21.0,64.36
0.017779,0.017779,0.017500,18.0,66.24
0.017777,0.017788,0.017499,18.0,65.80
0.017785,0.017797,0.017497,15.0,66.76
0.017767,0.017803,0.017496,-2.0,62.54
0.017745,0.017808,0.017495,-15.0,57.73
0.017742,0.017812,0.017495,-23.0,57.09
0.017731,0.017816,0.017496,-41.0,54.68
0.017716,0.017817,0.017496,-44.0,51.49
0.017717,0.017819,0.017496,-49.0,51.69
0.017720,0.017822,0.017497,-39.0,52.34
0.017697,0.017826,0.017498,-43.0,46.80
0.017707,0.017827,0.017499,-33.0,49.31
0.017684,0.017828,0.017500,-32.0,44.15
0.017745,0.017832,0.017501,-21.0,57.00
0.017722,0.017833,0.017505,-7.0,52.13
0.017815,0.017841,0.017507,4.0,65.11
0.017809,0.017847,0.017511,15.0,63.91
0.017803,0.017853,0.017513,3.0,62.66
0.017807,0.017859,0.017516,4.0,63.17
0.017809,0.017865,0.017518,27.0,63.45
0.017800,0.017870,0.017522,10.0,61.25
0.017794,0.017874,0.017525,0.0,59.77
0.017799,0.017878,0.017527,0.0,60.63
0.017787,0.017882,0.017529,-9.0,57.47
0.017771,0.017884,0.017533,-13.0,53.47
0.017780,0.017886,0.017539,-19.0,55.35
0.017767,0.017887,0.017544,-21.0,52.07
0.017787,0.017888,0.017550,-14.0,56.35
0.017785,0.017890,0.017554,-7.0,55.82
0.017790,0.017892,0.017558,2.0,56.92
0.017799,0.017895,0.017563,3.0,58.91
0.017798,0.017896,0.017569,7.0,58.59
0.017802,0.017896,0.017578,20.0,59.55
0.017809,0.017896,0.017586,16.0,61.24
0.017800,0.017895,0.017595,6.0,57.89
0.017814,0.017893,0.017606,9.0,61.43
0.017817,0.017891,0.017616,9.0,62.16
0.017819,0.017886,0.017632,5.0,62.67
0.017809,0.017879,0.017648,-7.0,58.43
0.017814,0.017868,0.017668,-7.0,59.89
0.017810,0.017861,0.017683,-10.0,58.13
0.017813,0.017852,0.017701,-9.0,59.10
0.017809,0.017852,0.017701,-12.0,57.20
0.017797,0.017853,0.017701,-17.0,51.81
0.017810,0.017854,0.017701,-14.0,56.58
0.017802,0.017854,0.017701,-7.0,53.10
0.017808,0.017855,0.017701,-3.0,55.32
0.017860,0.017860,0.017700,55.0,69.02
0.017808,0.017861,0.017701,-225.0,51.89
0.017817,0.017863,0.017701,-181.0,54.01
0.017823,0.017865,0.017701,-132.0,55.43
0.017825,0.017866,0.017701,-94.0,55.92
0.017847,0.017870,0.017701,-62.0,60.97
0.017853,0.017873,0.017701,-26.0,62.24
0.017867,0.017880,0.017704,16.0,65.30
0.017879,0.017884,0.017707,31.0,67.71
0.017866,0.017886,0.017711,22.0,62.63
0.017850,0.017887,0.017715,17.0,56.96
0.017834,0.017886,0.017720,12.0,51.90
0.017831,0.017883,0.017729,11.0,50.99
0.017834,0.017880,0.017737,20.0,51.90
0.017813,0.017872,0.017750,20.0,45.51
