price,ema20,vol,vol_ema,sar,rsi
0.019874,0.019829,759,290,4.900000000000043e-05,77.91
0.019852,0.019831,776,323,2.2000000000001185e-05,63.12
0.019884,0.019836,325,332,4.900000000000043e-05,71.58
0.019880,0.019840,254,326,4.099999999999937e-05,69.43
0.019883,0.019844,764,352,3.799999999999984e-05,70.15
0.019885,0.019848,201,354,3.399999999999931e-05,70.65
0.019876,0.019851,550,372,2.0000000000002655e-05,65.37
0.019855,0.019851,274,375,-4.49999999999999e-05,55.04
0.019874,0.019853,372,380,-2.3999999999999716e-05,61.04
0.019861,0.019854,243,378,-3.399999999999931e-05,55.58
0.019874,0.019856,431,393,-1.8000000000000654e-05,59.48
0.019909,0.019861,474,403,6.499999999999909e-05,67.71
0.019891,0.019864,626,415,4.39999999999989e-05,60.87
0.019893,0.019867,395,423,4.400000000000237e-05,61.33
0.019889,0.019869,328,429,3.699999999999884e-05,59.79
0.019888,0.019871,555,447,3.399999999999931e-05,59.39
0.019886,0.019872,297,449,2.9000000000001247e-05,58.54
0.019876,0.019872,452,460,1.6999999999999654e-05,54.37
0.019900,0.019875,901,475,3.799999999999984e-05,61.47
0.019905,0.019878,802,489,3.999999999999837e-05,62.77
0.019950,0.019885,1676.0,535,7.799999999999821e-05,71.94
0.019960,0.019892,1817.0,587,7.799999999999821e-05,73.51
0.019941,0.019897,1860.0,664,4.900000000000043e-05,65.99
0.019967,0.019903,2103.0,756,6.499999999999909e-05,70.44
0.019983,0.019911,1490.0,792,7.000000000000062e-05,72.80
0.019974,0.019917,1058.0,835,4.900000000000043e-05,69.44
0.019975,0.019922,973,856,3.900000000000084e-05,69.61
0.019982,0.019928,1236.0,904,3.799999999999984e-05,70.82
0.019983,0.019933,867,929,2.9000000000001247e-05,71.00
0.019998,0.019940,1357.0,985,3.199999999999731e-05,73.59
0.019995,0.019945,748,1000.9999999999999,1.9999999999999185e-05,72.20
0.019997,0.019950,488,1000.9999999999999,1.5000000000001124e-05,72.57
0.020005,0.019955,570,999.0,1.6999999999999654e-05,74.07
0.020012,0.019960,369,997.0,1.7999999999997185e-05,75.33
0.020122,0.019976,6144.0,1288.0,0.00011300000000000199,86.50
0.020132,0.019991,1068.0,1314.0,8.100000000000121e-05,87.07
0.020117,0.020003,1124.0,1355.0,3.299999999999831e-05,81.49
0.020077,0.020010,808,1373.0,-0.00013999999999999777,68.81
0.020007,0.020010,2583.0,1457.0,-0.0002009999999999998,53.21
0.019987,0.020007,850,1459.0,-0.00020699999999999885,49.74
0.019992,0.020006,633,1407.0,-0.00018900000000000167,50.61
0.020014,0.020007,282,1331.0,-0.0001549999999999989,54.34
0.020016,0.020008,545,1265.0,-0.00014100000000000223,54.68
0.020014,0.020008,329,1176.0,-0.00013200000000000017,54.25
0.020020,0.020009,369,1120.0,-0.00011600000000000152,55.38
0.020018,0.020010,428,1089.0,-0.00010800000000000046,54.89
0.020064,0.020015,849,1082.0,-5.300000000000096e-05,62.96
0.020060,0.020020,898,1065.0,-4.899999999999696e-05,61.92
0.020048,0.020022,444,1044.0,-5.300000000000096e-05,58.79
0.020060,0.020026,705,1012.0,-3.299999999999831e-05,60.92
0.020074,0.020030,630,1006.0,-1.5999999999998654e-05,63.30
0.020096,0.020037,377,1000.0,0.00011999999999999858,66.73
0.020090,0.020042,712,1006.9999999999999,0.00010900000000000146,64.95
0.020070,0.020044,329,1004.9999999999999,8.299999999999974e-05,59.27
0.020031,0.020043,789,738,4.000000000000184e-05,50.07
0.020060,0.020045,1098.0,739,6.400000000000156e-05,55.59
0.020023,0.020043,1085.0,737,2.1999999999997716e-05,48.26
0.020010,0.020040,577,726,5.000000000001531e-06,45.96
0.020018,0.020038,769,635,9.000000000002062e-06,47.61
0.020026,0.020035,868,632,-8.400000000000074e-05,49.40
0.020071,0.020038,1143.0,675,-3.700000000000231e-05,58.09
0.020076,0.020042,413,668,-2.9999999999998778e-05,58.93
0.020070,0.020044,593,681,-3.399999999999931e-05,57.44
0.020080,0.020048,807,703,-2.1999999999997716e-05,59.29
0.020052,0.020048,1560.0,760,-4.799999999999943e-05,52.41
0.020040,0.020047,765,756,-5.8000000000002494e-05,49.75
0.020069,0.020050,577,740,-2.6999999999999247e-05,55.62
0.020048,0.020049,395,737,-4.699999999999843e-05,50.98
0.020050,0.020049,504,727,-4.300000000000137e-05,51.39
0.020029,0.020047,903,741,-6.199999999999956e-05,46.89
0.020022,0.020045,327,738,-6.699999999999762e-05,45.46
0.020033,0.020044,270,716,-5.500000000000296e-05,48.14
0.020032,0.020043,685,734,-5.3999999999998494e-05,47.91
0.020031,0.020042,504,720,-5.3999999999998494e-05,47.66
0.020053,0.020043,738,702,-2.9999999999998778e-05,53.32
0.020043,0.020043,443,670,-3.900000000000084e-05,50.64
0.020144,0.020052,4366.0,859,0.00013699999999999823,68.10
0.020113,0.020058,879,865,0.00010299999999999893,60.97
0.020078,0.020060,656,870,6.399999999999809e-05,54.09
0.020086,0.020063,445,849,6.899999999999962e-05,55.33
