0.017397,0.017383,1392.0,343,5.099999999999896e-05,41.58
0.017406,0.017385,108,294,5.8000000000002494e-05,44.47
0.017438,0.017390,567,296,8.599999999999927e-05,53.30
0.017430,0.017394,287,295,7.400000000000115e-05,51.11
0.017443,0.017402,282,285,7.800000000000168e-05,54.62
0.017452,0.017406,648,310,7.699999999999721e-05,56.93
0.017429,0.017408,217,295,4.60000000000009e-05,49.94
0.017421,0.017410,803,315,2.9999999999998778e-05,47.75
0.017400,0.017409,428,329,9.999999999975306e-07,42.47
0.017416,0.017409,276,328,-6.699999999999762e-05,47.25
0.017347,0.017404,1816.0,412,-0.00012699999999999864,34.09
0.017346,0.017398,364,423,-0.00011900000000000105,33.94
0.017318,0.017390,940,466,-0.00013799999999999923,30.03
0.017344,0.017386,332,475,-0.0001040000000000034,37.27
0.017325,0.017380,281,482,-0.00011500000000000052,34.46
0.017323,0.017375,298,491,-0.00010899999999999799,34.17
0.017334,0.017371,228,492,-9.10000000000008e-05,37.31
0.017326,0.017367,251,497,-9.199999999999833e-05,35.97
0.017320,0.017362,206,502,-9.10000000000008e-05,34.95
0.017302,0.017356,290,447,-0.00010299999999999893,32.02
0.017314,0.017352,498,466,-8.500000000000174e-05,35.88
0.017302,0.017348,381,457,-9.099999999999733e-05,33.81
0.017307,0.017344,2839.0,584,-8.000000000000021e-05,35.48
0.017309,0.017340,602,599,-7.300000000000015e-05,36.17
0.017310,0.017338,220,596,-6.600000000000009e-05,36.54
0.017327,0.017337,1108.0,619,-4.400000000000237e-05,42.58
0.017317,0.017335,170,617,-4.900000000000043e-05,40.16
0.017305,0.017332,221,587,-5.6999999999998024e-05,37.41
0.017297,0.017329,6265.0,879,-6.0000000000001025e-05,35.66
0.017300,0.017326,2429.0,987,-5.300000000000096e-05,36.85
0.017310,0.017322,4712.0,1410.0,-3.500000000000031e-05,41.08
0.017301,0.017320,303,1378.0,-3.999999999999837e-05,38.58
0.017304,0.017319,302,1376.0,-3.300000000000178e-05,39.89
0.017305,0.017317,409,1383.0,-2.8999999999997778e-05,40.35
0.017311,0.017317,425,1389.0,-1.9999999999999185e-05,43.15
0.017313,0.017316,301,1393.0,-1.4000000000000123e-05,44.09
0.017302,0.017315,355,1398.0,-2.1999999999997716e-05,40.15
0.017323,0.017316,609,1418.0,7.300000000000015e-05,49.45
0.017312,0.017315,313,1419.0,6.0000000000001025e-05,45.46
0.017320,0.017316,652,1427.0,6.600000000000009e-05,48.70
0.017311,0.017315,342,1425.0,5.6000000000000494e-05,45.43
0.017322,0.017316,479,1307.0,6.499999999999909e-05,49.86
0.017309,0.017315,173,1286.0,5.000000000000143e-05,45.19
0.017303,0.017314,149,1282.0,4.200000000000037e-05,43.18
0.017305,0.017313,154,1234.0,4.300000000000137e-05,44.08
0.017306,0.017313,247,1238.0,4.19999999999969e-05,44.55
0.017304,0.017312,181,1236.0,3.900000000000084e-05,43.76
0.017305,0.017311,190,932,3.799999999999984e-05,44.29
0.017292,0.017309,300,826,2.3999999999999716e-05,39.11
0.017300,0.017308,707,565,2.9999999999998778e-05,43.49
0.017295,0.017307,236,341,2.3999999999999716e-05,41.48
0.017272,0.017304,710,362,-7.000000000000062e-05,33.76
0.017277,0.017301,393,366,-6.0999999999998555e-05,36.52
0.017267,0.017298,152,353,-6.799999999999862e-05,33.51
0.017278,0.017296,471,356,-5.3999999999998494e-05,39.43
0.017263,0.017293,264,354,-6.600000000000009e-05,34.87
0.017278,0.017292,127,343,-4.799999999999943e-05,42.08
0.017266,0.017289,212,323,-5.7000000000001494e-05,38.42
0.017269,0.017287,1155.0,365,-4.799999999999943e-05,39.83
0.017292,0.017288,583,361,-1.9000000000001654e-05,49.40
0.017289,0.017288,365,362,-1.6000000000002124e-05,48.32
0.017343,0.017293,511,364,0.00012200000000000058,63.70
0.017338,0.017297,324,372,0.00011199999999999752,61.87
0.017353,0.017303,1024.0,415,0.00011800000000000005,65.12
0.017371,0.017309,357,425,0.0001250000000000001,68.58
0.017399,0.017318,3091.0,568,0.0001349999999999997,73.05
0.017423,0.017328,3284.0,723,0.0001380000000000027,76.19
0.017422,0.017337,615,744,0.00011800000000000005,75.79
0.017430,0.017346,456,752,0.00010900000000000146,76.83
0.017460,0.017356,650,749,0.00011800000000000005,80.24
0.017459,0.017366,517,763,9.599999999999886e-05,79.82
0.017463,0.017375,287,742,8.299999999999974e-05,80.27
0.017495,0.017387,649,755,9.299999999999933e-05,83.43
0.017485,0.017396,700,782,6.199999999999956e-05,79.16
0.017503,0.017406,899,804,5.6000000000000494e-05,81.04
0.017520,0.017417,397,810,5.400000000000196e-05,82.63
0.017527,0.017428,432,825,4.60000000000009e-05,83.26
0.017524,0.017437,232,826,3.099999999999978e-05,81.90
0.017550,0.017448,611,799,4.39999999999989e-05,84.29
0.017563,0.017459,681,804,4.200000000000037e-05,85.34
0.017591,0.017480,405,806,4.599999999999743e-05,87.42
0.017595,0.017491,381,809,3.799999999999984e-05,87.69
0.017583,0.017500,166,766,1.6000000000002124e-05,82.01
0.017608,0.017510,384,767,3.199999999999731e-05,84.30
0.017615,0.017520,276,627,3.099999999999978e-05,84.87
0.017635,0.017531,1024.0,514,3.700000000000231e-05,86.41
0.017655,0.017543,469,506,5.300000000000096e-05,87.76
0.017676,0.017556,837,525,5.9000000000000025e-05,88.99
0.017599,0.017560,1541.0,570,-0.0001010000000000004,63.70
0.017580,0.017562,531,571,-0.00011500000000000052,59.23
0.017574,0.017563,353,574,-0.00011300000000000199,57.85
