price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017627,0.017586,0.017571,0.017555,0.017541,0.017527,0.017516,0.017505,400,510,0.0176741
0.017643,0.017592,0.017576,0.017561,0.017546,0.017533,0.017521,0.017511,207,490,0.017681099999999998
0.017637,0.017596,0.017581,0.017566,0.017551,0.017538,0.017526,0.017516,268,469,0.0176893
0.017625,0.017599,0.017584,0.017569,0.017555,0.017542,0.017531,0.017520,314,459,0.017695000000000002
0.017644,0.017603,0.017589,0.017574,0.017560,0.017547,0.017535,0.017525,272,453,0.017697300000000003
0.017655,0.017608,0.017594,0.017580,0.017566,0.017553,0.017541,0.017530,517,460,0.0176952
0.017670,0.017614,0.017600,0.017585,0.017571,0.017558,0.017546,0.017535,479,475,0.017689500000000004
0.017694,0.017622,0.017607,0.017592,0.017578,0.017565,0.017553,0.017542,707,491,0.017681000000000002
0.017707,0.017630,0.017615,0.017600,0.017585,0.017572,0.017559,0.017548,1160.0,536,0.0176758
0.017738,0.017640,0.017624,0.017609,0.017594,0.017580,0.017567,0.017556,1486.0,559,0.017664400000000004
0.017728,0.017648,0.017632,0.017616,0.017601,0.017587,0.017574,0.017562,1137.0,592,0.0176538
0.017713,0.017655,0.017638,0.017623,0.017607,0.017593,0.017580,0.017568,2428.0,672,0.017641900000000002
0.017719,0.017661,0.017645,0.017629,0.017614,0.017599,0.017586,0.017574,2097.0,700,0.017625400000000003
0.017682,0.017663,0.017647,0.017632,0.017617,0.017603,0.017590,0.017578,1356.0,741,0.0176085
0.017667,0.017663,0.017649,0.017634,0.017620,0.017607,0.017594,0.017582,554,751,0.0175958
0.017634,0.017660,0.017648,0.017634,0.017621,0.017608,0.017595,0.017584,3878.0,927,0.017586700000000004
0.017613,0.017656,0.017645,0.017633,0.017621,0.017608,0.017596,0.017585,1564.0,993,0.017581199999999998
0.017609,0.017651,0.017642,0.017632,0.017620,0.017608,0.017597,0.017586,2021.0,1071.0,0.0175746
0.017655,0.017652,0.017643,0.017633,0.017622,0.017610,0.017599,0.017589,654,1089.0,0.0175643
0.017624,0.017649,0.017642,0.017632,0.017622,0.017611,0.017600,0.017590,591,1105.0,0.017559800000000004
0.017622,0.017646,0.017640,0.017632,0.017622,0.017612,0.017601,0.017591,525,1111.0,0.017557600000000003
0.017594,0.017641,0.017637,0.017629,0.017620,0.017611,0.017601,0.017591,569,1129.0,0.0175615
0.017554,0.017633,0.017630,0.017624,0.017617,0.017608,0.017599,0.017590,519,1141.0,0.0175645
