close_price,open_price,ema20,vol,vol_ema,sar,klinger
0.025727,0.025789,0.025764,471,981,8e-05,-21.0
0.025812,0.025726,0.025769,1924.0,1000.9999999999999,0.00016,18.0
0.025771,0.025813,0.025769,2889.0,1101.0,0.00011,66.0
0.025823,0.025774,0.025774,1502.0,1142.0,0.00015,22.0
0.025778,0.025821,0.025775,1155.0,1145.0,0.0001,36.0
0.025798,0.025786,0.025777,964,1124.0,0.00012,43.0
0.025816,0.025801,0.025781,1366.0,1160.0,0.00012,55.0
0.025946,0.025818,0.025796,2263.0,1244.0,0.00024,80.0
0.025978,0.025940,0.025814,1886.0,1288.0,0.00025,92.0
0.026022,0.025979,0.025833,1187.0,1302.0,0.00027,85.0
0.026124,0.026025,0.025861,3730.0,1403.0,0.00035,127.0
0.026269,0.026121,0.025900,2909.0,1513.0,0.00045,142.0
0.026297,0.026269,0.025938,1269.0,1479.0,0.00039,120.0
0.026481,0.026300,0.025990,2751.0,1585.0,0.0005,130.0
0.026379,0.026481,0.026027,2421.0,1626.0,0.00031,128.0
0.026264,0.026378,0.026049,1787.0,1690.0,0.00012,48.0
0.026310,0.026263,0.026074,1176.0,1705.0,9e-05,39.0
0.026218,0.026310,0.026088,1042.0,1691.0,-0.00031,-10.0
0.026220,0.026216,0.026100,824,1699.0,-0.0003,-44.0
0.026269,0.026215,0.026116,1506.0,1751.0,-0.00024,-28.0
0.026390,0.026264,0.026142,920,1773.0,-0.00011,-26.0
0.026462,0.026391,0.026173,1085.0,1731.0,-2e-05,-22.0
0.026732,0.026455,0.026226,2384.0,1706.0,0.00055,6.0
0.026743,0.026732,0.026275,2149.0,1739.0,0.00055,24.0
0.026631,0.026745,0.026309,1719.0,1767.0,0.00042,-36.0
0.026555,0.026610,0.026333,1829.0,1810.0,0.00032,-83.0
0.026702,0.026575,0.026368,2410.0,1862.0,0.00043,-129.0
0.026610,0.026698,0.026391,1334.0,1816.0,0.00031,-144.0
0.026654,0.026616,0.026416,1300.0,1787.0,0.00032,-105.0
0.026766,0.026653,0.026449,1432.0,1799.0,0.00041,-72.0
0.026782,0.026765,0.026481,2041.0,1714.0,0.0004,-33.0
0.026725,0.026782,0.026504,972,1617.0,0.00031,-58.0
0.026706,0.026724,0.026523,1526.0,1630.0,0.00027,-87.0
0.026763,0.026700,0.026546,1361.0,1561.0,0.00031,-55.0
0.026995,0.026762,0.026589,2129.0,1546.0,0.00052,-16.0
0.026931,0.026993,0.026622,2299.0,1572.0,0.00041,18.0
0.026980,0.026927,0.026656,2099.0,1618.0,0.00041,40.0
0.026956,0.026975,0.026684,1735.0,1653.0,0.00034,51.0
0.026817,0.026956,0.026697,2794.0,1751.0,0.00015,-25.0
0.026786,0.026818,0.026705,1752.0,1763.0,0.00012,-65.0
