close_price,open_price,high_price,low_price,ema_dif,rsi
569.92,570.3,570.34,569.22,-0.17999999999994998,43.65
760.8199999999999,761.27,762.38,761.7,0.3400000000001455,59.64
761.3599999999999,761.83,763.04,761.7,0.5400000000000773,57.87
761.91,761.37,762.3399999999999,759.2500000000001,0.12999999999999545,52.15
760.56,764.05,765.38,759.0,0.4600000000000364,54.45
759.9300000000001,760.58,760.98,759.5200000000001,0.12999999999999545,52.15
761.3399999999999,759.94,761.51,759.2500000000001,0.14999999999997726,56.57
761.91,761.37,762.3399999999999,759.62,0.25,58.25
761.82,761.8800000000001,762.3399999999999,761.4899999999999,0.2599999999999909,57.87
762.38,761.83,763.04,761.7,0.3400000000001455,59.64
761.3599999999999,762.38,762.38,760.6300000000001,0.2099999999999227,55.10
760.8199999999999,761.27,761.52,760.3,0.04000000000007731,52.82
761.5,760.8199999999999,761.85,760.73,0.049999999999954525,55.33
760.65,761.5,761.83,760.54,-0.07999999999992724,51.63
760.68,760.61,761.52,760.2399999999999,-0.13999999999998636,51.75
761.1999999999999,760.79,761.1999999999999,760.65,-0.08000000000004093,53.93
762.05,761.19,762.05,760.9399999999999,0.08999999999991815,57.33
760.9000000000001,762.06,762.11,760.33,-0.009999999999990905,51.77
760.3100000000001,760.7800000000001,761.13,760.12,-0.14999999999986358,49.13
760.9599999999999,760.32,761.23,760.27,-0.11000000000012733,52.03
760.98,761.0,761.1999999999999,760.45,-0.09000000000014552,52.12
760.39,760.99,761.2199999999999,760.19,-0.16000000000008185,49.18
760.3,760.48,760.88,760.17,-0.1999999999999318,48.72
760.41,760.29,760.99,760.0899999999999,-0.19000000000005457,49.34
759.09,760.36,760.53,758.29,-0.37999999999999545,42.74
758.69,759.08,759.7800000000001,758.5400000000001,-0.5199999999999818,40.95
758.3,758.5500000000001,759.33,757.4799999999999,-0.6200000000001182,39.23
759.34,758.24,760.7800000000001,758.1400000000001,-0.4799999999999045,45.78
760.3,759.5200000000001,760.65,759.43,-0.23000000000013188,51.03
760.27,760.33,760.74,760.01,-0.08999999999991815,50.86
765.43,760.28,765.6899999999999,760.28,0.8300000000000409,70.18
764.49,765.3699999999999,765.78,764.28,1.0900000000000318,65.15
764.45,764.49,764.85,764.23,1.1599999999999682,64.94
763.39,764.46,764.6899999999999,763.25,0.9599999999999227,59.40
763.76,763.37,764.88,762.83,0.8500000000000227,60.66
765.2,763.88,765.2,763.88,0.9599999999999227,65.19
764.81,765.2,765.52,764.37,0.9099999999999682,63.07
764.16,764.8000000000001,764.9499999999999,763.4100000000001,0.7200000000000273,59.59
764.24,764.18,764.67,763.89,0.5900000000000318,59.89
763.3299999999999,764.41,764.9,763.3299999999999,0.25,54.65
763.65,763.38,764.19,763.2700000000001,0.15999999999985448,56.11
765.57,763.65,766.13,763.64,0.39999999999997726,63.63
764.9599999999999,765.65,765.65,764.59,0.40999999999996817,60.11
765.26,765.01,765.32,764.48,0.42999999999995,61.24
766.02,765.07,766.11,764.94,0.5400000000000773,64.04
766.4200000000001,766.12,767.09,765.7,0.6200000000000045,65.46
766.1800000000001,766.4300000000001,766.4799999999999,766.1700000000001,0.599999999999909,63.83
764.9499999999999,766.1800000000001,767.6800000000001,764.48,0.34999999999990905,56.16
765.3699999999999,764.9599999999999,766.4200000000001,764.85,0.2699999999999818,58.01
765.2,765.4,765.54,764.3,0.17999999999994998,56.96
765.8299999999999,765.22,765.97,764.8000000000001,0.2099999999999227,59.87
767.0799999999999,765.78,767.48,765.7600000000001,0.41000000000008185,64.92
767.79,767.0799999999999,767.82,766.74,0.599999999999909,67.43
767.7299999999999,767.82,768.42,767.18,0.6600000000000819,67.00
766.83,767.7299999999999,767.95,766.13,0.5099999999998772,60.66
767.38,766.83,767.44,766.54,0.4900000000000091,62.96
768.1300000000001,767.3000000000001,768.24,767.1600000000001,0.5499999999999545,65.90
766.87,768.1899999999999,768.5,766.71,0.34000000000003183,57.08
766.7,767.0100000000001,767.83,766.68,0.16999999999995907,55.99
766.64,766.7,767.4,766.52,0.06000000000005912,55.59
767.0699999999999,766.6199999999999,767.1600000000001,766.1600000000001,0.06000000000005912,57.93
765.4,767.0,767.1400000000001,764.8000000000001,-0.19000000000005457,47.48
766.25,765.59,766.3399999999999,765.29,-0.20000000000004547,52.21
765.39,766.2199999999999,766.24,765.29,-0.32000000000005,47.54
764.43,765.3100000000001,766.19,763.38,-0.5,42.94
764.0,764.35,764.7900000000001,763.97,-0.6499999999999773,41.02
764.11,764.02,764.89,764.02,-0.6599999999999682,41.74
762.6800000000001,764.1,764.18,762.62,-0.8500000000000227,35.67
762.95,762.7,763.34,762.0,-0.8599999999999,37.51
763.4399999999999,762.98,764.1199999999999,762.98,-0.7300000000000182,40.84
764.99,763.5500000000001,765.6300000000001,763.5500000000001,-0.38999999999998636,49.91
764.55,765.0,765.0,763.8399999999999,-0.25,47.67
765.29,764.5,765.5000000000001,764.45,-0.04000000000007731,51.60
765.2,765.22,765.92,764.68,0.06000000000005912,51.09
765.0,765.0400000000001,765.0400000000001,764.27,0.07999999999992724,49.93
764.8299999999999,764.9100000000001,764.9100000000001,764.0,0.05999999999994543,48.91
765.2399999999999,764.9,765.84,764.3800000000001,0.11000000000001364,51.48
765.26,764.94,766.0,764.63,0.12999999999999545,51.61
765.6300000000001,765.29,766.2099999999999,765.1800000000001,0.1999999999999318,54.03
764.6999999999999,765.6,765.6,764.35,0.07000000000005002,47.60
764.49,764.56,765.62,764.2500000000001,-0.030000000000086402,46.26
