close_price,open_price,high_price,low_price,dif_sar,ema50,klinger
238.02,240.77,241.0,237.13000000000002,-8.079999999999984,246.55,-621
237.02,238.02,239.1,236.57999999999998,-8.009999999999991,246.17,-631
237.61999999999998,237.06,238.58,237.05,-6.4500000000000455,245.84,-284
236.39000000000001,237.63,238.45999999999998,235.39999999999998,-6.810000000000002,245.47,-350
237.38,236.39000000000001,237.61,236.38,-5.039999999999992,245.14999999999998,-17
237.57,237.38,237.86,236.82000000000002,-4.150000000000006,244.85,216
238.3,237.56,239.07000000000002,237.10999999999999,-2.7899999999999636,244.6,463
246.28,238.27,247.41,238.04,10.880000000000024,244.66000000000003,822
242.64999999999998,246.28,248.39,240.98999999999998,7.0099999999999625,244.58,1086
242.64000000000001,242.68,243.12,241.82999999999998,6.490000000000009,244.51,760
239.75,242.68,243.79999999999998,239.63000000000002,3.109999999999985,244.32,533
240.13,239.73999999999998,240.57999999999998,238.88,3.0200000000000102,244.16,324
243.04,240.21,243.79999999999998,239.94000000000003,5.47999999999999,244.10999999999999,453
240.62,243.03000000000003,243.51999999999998,240.56,2.6299999999999955,243.98,235
240.29,240.62,241.77,239.96,1.879999999999967,243.82999999999998,65
239.11,240.31,240.45000000000002,239.06,0.30000000000001137,243.65,-33
237.91,239.11,239.81,237.76,-10.47999999999999,243.42,-132
238.43,237.92000000000002,238.59,236.29000000000002,-9.75,243.23000000000002,-221
237.06,238.5,238.63,236.92000000000002,-10.640000000000015,242.98,-245
237.89999999999998,237.10999999999999,238.3,236.5,-9.350000000000023,242.78,-43
237.48999999999998,237.89000000000001,238.14,237.14,-9.320000000000022,242.57999999999998,107
237.12,237.48,238.47,236.82000000000002,-9.27000000000001,242.36,-12
236.92000000000002,237.12,237.25,236.46,-9.059999999999974,242.15,-136
234.0,236.89000000000001,236.95999999999998,233.97,-11.590000000000003,241.82999999999998,-254
231.59,233.99,234.53000000000003,231.4,-13.310000000000002,241.43,-458
233.04999999999998,231.59,233.55,231.0,-10.770000000000039,241.1,-159
235.08,233.04999999999998,236.23000000000002,231.66,-7.460000000000008,240.85999999999999,161
235.51,235.1,235.8,233.96,-5.8700000000000045,240.65,312
233.01,235.50000000000003,235.9,233.0,-7.3300000000000125,240.35,0
232.20999999999998,233.04,233.81,230.82999999999998,-7.200000000000017,240.03,-245
233.10000000000002,232.16,234.44,231.79999999999998,-5.280000000000001,239.76000000000002,69
237.85,233.10000000000002,237.93,233.10000000000002,7.02000000000001,239.69,383
239.67,237.86,241.15,237.48,8.699999999999989,239.69,762
239.42999999999998,239.70999999999998,240.78,239.0,8.049999999999983,239.68,774
243.05,239.42999999999998,244.79000000000002,239.35999999999999,11.280000000000001,239.81,909
243.71,243.07999999999998,244.37,242.08,11.159999999999997,239.96,898
243.02,243.72,244.38000000000002,242.64000000000001,9.730000000000018,240.08,489
241.04,243.03000000000003,243.78,240.31,7.060000000000002,240.11999999999998,170
243.32,241.11,243.33,238.95,8.699999999999989,240.25,321
243.81,243.32,244.51,242.82999999999998,8.580000000000013,240.38,362
249.23000000000002,243.81,249.54,243.46,13.420000000000016,240.73000000000002,513
258.0,249.23000000000002,261.31,248.81,21.090000000000003,241.41,1118
267.21000000000004,258.0,267.97999999999996,256.1,27.860000000000014,242.42,1412
269.75,267.21000000000004,271.87,264.60999999999996,26.97,243.48999999999998,2034
270.83,269.76,273.46,268.02,23.97999999999999,244.55999999999997,2170
274.04,270.83,275.64000000000004,268.35,22.930000000000007,245.72,2013
288.8,273.94,290.21000000000004,273.92,33.27000000000001,247.41,2511
286.29,288.8,291.0,285.1,23.83000000000004,248.92999999999998,2539
287.0,286.28000000000003,292.0,282.01,18.829999999999984,250.43,878
284.27,287.0,287.5,283.57,11.329999999999984,251.75,-19
278.7,284.33,285.45,278.34999999999997,1.9499999999999886,252.81,-681
280.11,278.67,281.64000000000004,275.57,-11.889999999999986,253.88,-1279
277.5,280.11,280.83,276.17,-14.169999999999959,254.81,-1554
281.15000000000003,277.58000000000004,281.25,277.57,-10.199999999999989,255.84,-1249
284.58,281.18,286.91,281.1,-6.4500000000000455,256.97,-874
280.65,284.59000000000003,286.68,278.43,-10.07000000000005,257.9,-1176
283.07,280.65,283.21,278.57,-7.349999999999966,258.88,-1315
283.11,283.08,284.12,282.03,-7.009999999999991,259.83,-1127
292.9,283.03,294.78000000000003,282.86,17.329999999999984,261.13,-804
299.39,292.9,300.27000000000004,292.35,23.439999999999998,262.63,-266
294.71,299.39,300.58000000000004,293.36,17.779999999999973,263.89,-742
296.4,294.74,305.0,293.55,18.05000000000001,265.16,-140
294.43,296.39,301.41999999999996,293.40000000000003,13.949999999999989,266.31,-666
297.1,294.45,298.86,293.14,14.660000000000025,267.52000000000004,-1113
294.6,297.12,297.64,294.27,10.360000000000014,268.58,-1255
291.34,294.57,294.74,289.29,5.430000000000007,269.46999999999997,-1536
293.11,291.34,295.21999999999997,290.53,5.680000000000007,270.40000000000003,-1168
292.77,293.15999999999997,293.21,290.43,3.930000000000007,271.28,-1191
297.39000000000004,292.77,298.01,292.71999999999997,7.260000000000048,272.3,-789
304.87,297.34,306.5,297.1,14.439999999999998,273.58,-238
309.44,304.94,309.71999999999997,303.7,17.399999999999977,274.99,192
309.03,309.44,309.65,305.55,14.869999999999948,276.32,260
319.34999999999997,309.03,320.28000000000003,307.4,23.319999999999936,278.01,823
330.28000000000003,319.34,333.33000000000004,319.03000000000003,30.860000000000014,280.06,1428
337.38,330.33,340.0,325.89,32.52999999999997,282.31,1847
