close_price,open_price,high_price,low_price,dif_sar,ema50,klinger
568.2,569.98,570.2900000000001,566.71,-2.6200000000000045,583.94,-109
181.96,182.27,182.34,182.01,0.010000000000019327,180.13000000000002,166
182.09,182.03,182.5,182.01,0.14000000000001478,180.13000000000002,142
181.83999999999997,182.28,182.34,181.75,-0.10000000000002274,180.3,81
182.11,181.83999999999997,182.23,181.7,0.15000000000000568,180.46,109
182.25000000000003,182.14000000000001,182.31,181.88,0.27000000000003865,180.61,163
182.29999999999998,182.27,182.5,182.04999999999998,0.28999999999999204,180.75,184
181.69,182.31,182.31,181.4,-0.28999999999999204,180.89000000000001,68
181.96,181.69,182.07999999999998,181.5,-0.01999999999998181,181.03,140
181.86,181.97000000000003,182.16,181.6,-0.11000000000001364,181.16,207
182.04999999999998,181.85,182.4,181.7,0.06999999999999318,181.27999999999997,272
182.14000000000001,182.06,182.45000000000002,181.91,0.15000000000000568,181.4,309
182.45999999999998,182.76000000000002,182.84,181.52,0.1799999999999784,184.04,-17
182.14999999999998,182.26,182.48,182.0,-0.13000000000002387,183.84,-173
183.8,182.42999999999998,185.28,184.32,0.8100000000000307,181.78,408
185.23999999999998,184.63,185.28,184.32,2.25,181.78,408
185.33,185.25,185.07,183.60000000000002,2.5800000000000125,181.64,412
185.23999999999998,184.63,185.28,184.32,2.25,181.78,408
185.33,185.25,185.61,184.67000000000002,2.1200000000000045,181.99,395
185.5,185.33999999999997,185.65,184.92999999999998,2.069999999999993,182.28,346
183.75,185.49,185.5,183.11999999999998,0.28999999999999204,182.62,118
183.60000000000002,183.75,184.11,183.1,0.13000000000002387,182.92,-1
184.0,183.57,184.08,183.08999999999997,0.47999999999998977,185.65,37
183.9,184.0,184.0,183.37,0.3400000000000034,185.6,40
184.84,183.92,185.23999999999998,183.65,1.160000000000025,185.54999999999998,54
184.26999999999998,184.85000000000002,185.5,184.21,0.5299999999999727,183.08999999999997,147
184.97,184.26000000000002,185.02,183.84,1.1200000000000045,183.14000000000001,-10
185.14,184.99,185.37,184.73,1.1599999999999682,183.19,35
184.73,185.1,185.16000000000003,184.6,0.6799999999999784,183.23,-51
184.74,184.73,185.12,184.64000000000001,0.6299999999999955,183.28,-21
184.89,184.73,184.95999999999998,184.64999999999998,0.6999999999999602,183.32000000000002,2
186.20000000000002,184.95000000000002,186.57,184.9,1.8200000000000216,183.37,111
186.4,186.20999999999998,186.57,185.76,1.829999999999984,183.49,212
187.76999999999998,186.41000000000003,188.6,186.41000000000003,2.8899999999999864,183.62,326
187.54,187.78,188.83,187.0,2.409999999999968,183.92,367
188.32000000000002,187.54,188.5,187.45000000000002,2.890000000000015,184.31,366
186.29,188.29,189.0,185.43,0.7700000000000102,184.67000000000002,-54
186.96999999999997,186.28,187.38000000000002,186.07999999999998,1.3199999999999648,185.1,-284
186.45,186.96999999999997,187.41,186.22,0.7199999999999989,185.43,-391
186.86,186.44,187.53,186.44,1.0200000000000102,185.79,-210
187.59,186.83,187.59,186.68,1.5900000000000318,186.10999999999999,-140
187.31,187.59,187.63,186.79999999999998,1.1799999999999784,186.4,-208
187.5,187.3,187.59,187.14000000000001,1.240000000000009,186.66,-154
188.26,187.48999999999998,188.51,187.39,1.8100000000000023,186.79999999999998,-90
187.02,188.29,188.39000000000001,186.86,0.5200000000000102,189.0,-182
185.44000000000003,187.03,187.03,185.0,-0.9599999999999795,188.96,-324
185.76,185.44000000000003,185.92000000000002,184.9,-0.5800000000000125,188.8,-432
182.21,185.77,185.85999999999999,181.21,-3.740000000000009,188.56,-645
181.94,182.23,182.55,181.64,-3.6299999999999955,187.98,-628
182.37,181.92,182.9,181.86,-2.890000000000015,187.44,-403
181.76000000000002,182.35999999999999,182.47,181.69,-3.169999999999959,186.94,-364
181.68,181.73999999999998,181.76999999999998,181.29,-2.6699999999999875,185.92999999999998,-151
181.42,181.67,181.83999999999997,181.34,-2.6500000000000057,185.44000000000003,-159
181.21,181.44,181.48999999999998,181.00000000000003,-2.5900000000000034,185.0,-209
181.57,181.19,181.68,181.13,-2.009999999999991,184.52,-32
181.48999999999998,181.58,182.11999999999998,181.29,-1.8900000000000148,184.1,79
181.15,181.47,181.58,181.12,-2.019999999999982,183.72,39
180.62,181.16,181.21,180.43,-2.3100000000000023,183.39999999999998,-104
179.33,180.61,180.62,179.29,-3.259999999999991,182.98,-229
179.56,179.32,179.87,178.63,-2.7399999999999807,182.39,-251
179.51999999999998,179.53,179.6,179.10999999999999,-2.5100000000000193,181.71,-58
179.73,179.53,179.76,178.85999999999999,-2.0800000000000125,181.16,117
178.64000000000001,179.7,179.79,178.33,-2.869999999999976,180.7,-43
179.78,178.64000000000001,180.06,178.49,-1.5699999999999932,180.23000000000002,129
